Sample	Plot	Location	Ecotope	pH	Age	DBH	Height	Latitude	Longitude	BAI_5y	BAI_10y	BAI_15y	BAI_30y
45504	IF	Interior	forest	4.81	59	10.9	8	64.70448133	-148.3072809	1.15312170600112	1.01563291152482	0.790388350674149	0.980463497372452
45516	IF	Interior	forest	6.02	40	10.5	9.1	64.70453977	-148.3072453	1.16757080134439	0.972414326230744	0.785302235088249	1.00779717450664
45533	IF	Interior	forest	6.03	71	13.4	12.2	64.70460733	-148.3069936	1.00072822466567	1.14144739588397	0.843259750640716	0.963927207348882
45209-1	IF	Interior	forest	5.93	76	18.3	12	64.7042358	-148.3051811	4.69368132123667	3.69350862478488	2.78249008350922	1.67876637337926
45201	IT	Interior	treeline	5.5	75	37.9	15.8	64.70378895	-148.3053565	3.38052011071072	2.59425727281538	2.05326258006624	1.51549794215138
45207	IT	Interior	treeline	5.46	66	29.9	11.5	64.70401504	-148.3052709	1.06158881938824	0.992212927311411	0.958787560134226	0.9921386241632
45257	IT	Interior	treeline	5.08	59	27	14.1	64.70406907	-148.3055097	4.97331464880134	4.07821601003212	3.07461585508991	1.8104028412788
45261	IT	Interior	treeline	5.68	41	16	7.5	64.70400256	-148.305454	5.27102873243593	3.64875080522995	2.57827282914512	1.36670165103966
45263	IT	Interior	treeline	6.14	66	29.8	13.9	64.70388639	-148.305558	3.48103487543578	2.68076484271222	2.13902344333085	1.588820592624
45267	IT	Interior	treeline	4.98	66	18.5	12.9	64.70405124	-148.3057925	4.49001244090936	3.23454866018871	2.57809390971609	1.77084578211516
45354	IT	Interior	treeline	4.72	77	25	14.9	64.70406479	-148.306199	1.08817220429136	1.00439153292262	0.950009661600704	0.981565866457523
45366	IT	Interior	treeline	5.54	66	18.4	11.4	64.70400481	-148.3064216	4.70047214559512	4.0444196430411	0.850458053857503	1.04174800616641
45368	IT	Interior	treeline	5.49	73	20.7	12.2	64.70395668	-148.3064832	6.37545541313776	5.04783914727735	0.783903974091574	1.00701542760415
45430	IT	Interior	treeline	5.27	75	26.6	19.3	64.70388142	-148.3061331	0.966026111188843	1.0813746848529	0.89468364570873	0.965043615724933
45442	IT	Interior	treeline	5.49	73	31.6	14.1	64.70375717	-148.3063486	0.974974905023513	1.06783129059195	0.944977841488439	0.955507993559042
